12
Boar Pingtun SU-4 2004.08
Dog Kaohsiung SU-3 2005.05
Dragon Taichung CN-1 1997.10
Goat Yunlin CN-4 2000.10
Horse Nantou CN-3 2002.05
Monkey Chayi SU-1 2000.06
Ox New Taipei City NR-2 2000.02
RBL2020-107 SU-2 SU-4 92 70 2020.04.11
RBL2020-108 SU-1 SU-3 72 116 2020.04.11
RBL2020-109 CN-1 NR-1 75 108 2020.04.13
RBL2020-110 CN-2 NR-2 111 76 2020.04.13
RBL2020-111 SU-1 CN-3 101 97 2020.04.13
RBL2020-112 SU-2 CN-4 91 89 2020.04.13
RBL2020-113 NR-3 SU-3 84 119 2020.04.13
RBL2020-114 NR-4 SU-4 106 86 2020.04.13
RBL2020-115 SU-1 CN-1 95 105 2020.04.15
RBL2020-116 SU-2 CN-2 116 103 2020.04.15
RBL2020-117 NR-1 SU-3 118 113 2020.04.15
RBL2020-118 NR-2 SU-4 109 108 2020.04.15
RBL2020-119 CN-3 NR-3 85 99 2020.04.15
RBL2020-120 CN-4 NR-4 88 113 2020.04.15
RBL2020-121 NR-1 SU-1 103 76 2020.04.17
RBL2020-122 NR-2 SU-2 112 85 2020.04.17
RBL2020-123 CN-1 NR-3 71 114 2020.04.17
RBL2020-124 CN-2 NR-4 82 86 2020.04.17
RBL2020-125 SU-3 CN-3 71 114 2020.04.17
RBL2020-126 SU-4 CN-4 101 74 2020.04.17
RBL2020-127 NR-1 CN-1 110 80 2020.04.19
RBL2020-128 NR-2 CN-2 113 98 2020.04.19
RBL2020-129 CN-3 SU-1 73 119 2020.04.19
RBL2020-130 CN-4 SU-2 105 98 2020.04.19
RBL2020-131 SU-3 NR-3 91 103 2020.04.19
RBL2020-132 SU-4 NR-4 72 98 2020.04.19
RBL2020-133 CN-1 SU-1 119 115 2020.04.21
RBL2020-134 CN-2 SU-2 106 96 2020.04.21
RBL2020-135 SU-3 NR-1 80 99 2020.04.21
RBL2020-136 SU-4 NR-2 106 89 2020.04.21
RBL2020-137 NR-3 CN-3 93 110 2020.04.21
RBL2020-138 NR-4 CN-4 84 82 2020.04.21
RBL2020-139 SU-1 NR-1 116 102 2020.04.23
RBL2020-140 SU-2 NR-2 83 76 2020.04.23
RBL2020-141 NR-3 CN-1 82 108 2020.04.23
RBL2020-142 NR-4 CN-2 82 105 2020.04.23
RBL2020-143 CN-3 SU-3 112 91 2020.04.23
RBL2020-144 CN-4 SU-4 94 80 2020.04.23
RBL2020-145 NR-2 NR-1 76 95 2020.05.01
RBL2020-146 NR-4 NR-3 88 117 2020.05.01
RBL2020-147 CN-2 CN-1 100 115 2020.05.01
RBL2020-148 CN-4 CN-3 108 78 2020.05.01
RBL2020-149 SU-2 SU-1 98 73 2020.05.01
RBL2020-150 SU-4 SU-3 108 91 2020.05.01
RBL2020-151 NR-3 NR-1 84 87 2020.05.03
RBL2020-152 NR-4 NR-2 118 83 2020.05.03
RBL2020-153 CN-3 CN-1 83 74 2020.05.03
RBL2020-154 CN-4 CN-2 88 78 2020.05.03
RBL2020-155 SU-3 SU-1 76 87 2020.05.03
RBL2020-156 SU-4 SU-2 88 97 2020.05.03
RBL2020-157 NR-4 NR-1 79 114 2020.05.05
RBL2020-158 NR-3 NR-2 114 82 2020.05.05
RBL2020-159 CN-4 CN-1 100 87 2020.05.05
RBL2020-160 CN-3 CN-2 76 105 2020.05.05
RBL2020-161 SU-4 SU-1 84 86 2020.05.05
RBL2020-162 SU-3 SU-2 92 102 2020.05.05
RBL2020-163 NR-3 NR-2 75 80 2020.05.07
RBL2020-164 NR-1 NR-4 118 83 2020.05.07
RBL2020-165 CN-3 CN-2 83 72 2020.05.07
RBL2020-166 CN-1 CN-4 72 104 2020.05.07
RBL2020-167 SU-3 SU-2 81 76 2020.05.07
RBL2020-168 SU-1 SU-4 78 70 2020.05.07
RBL2020-169 NR-2 NR-3 110 105 2020.05.09
RBL2020-170 NR-1 NR-4 74 110 2020.05.09
RBL2020-171 CN-2 CN-3 71 78 2020.05.09
RBL2020-172 CN-1 CN-4 89 91 2020.05.09
RBL2020-173 SU-2 SU-3 101 114 2020.05.09
RBL2020-174 SU-1 SU-4 112 78 2020.05.09
RBL2020-175 NR-2 NR-4 77 116 2020.05.11
RBL2020-176 NR-1 NR-3 97 104 2020.05.11
RBL2020-177 CN-2 CN-4 79 89 2020.05.11
RBL2020-178 CN-1 CN-3 113 75 2020.05.11
RBL2020-179 SU-2 SU-4 115 79 2020.05.11
RBL2020-180 SU-1 SU-3 92 97 2020.05.11
RBL2020-181 CN-1 NR-1 90 103 2020.05.13
RBL2020-182 CN-2 NR-2 97 90 2020.05.13
RBL2020-183 SU-1 CN-3 71 76 2020.05.13
RBL2020-184 SU-2 CN-4 110 109 2020.05.13
RBL2020-185 NR-3 SU-3 101 118 2020.05.13
RBL2020-186 NR-4 SU-4 98 114 2020.05.13
RBL2020-187 SU-1 CN-1 111 78 2020.05.15
RBL2020-188 SU-2 CN-2 90 85 2020.05.15
RBL2020-189 NR-1 SU-3 116 107 2020.05.15
RBL2020-190 NR-2 SU-4 111 71 2020.05.15
RBL2020-191 CN-3 NR-3 111 95 2020.05.15
RBL2020-192 CN-4 NR-4 101 94 2020.05.15
RBL2020-193 NR-1 SU-1 82 98 2020.05.17
RBL2020-194 NR-2 SU-2 98 97 2020.05.17
RBL2020-195 CN-1 NR-3 97 101 2020.05.17
RBL2020-196 CN-2 NR-4 73 99 2020.05.17
RBL2020-197 SU-3 CN-3 83 119 2020.05.17
RBL2020-198 SU-4 CN-4 116 76 2020.05.17
RBL2020-199 NR-1 CN-1 72 98 2020.05.19
RBL2020-200 NR-2 CN-2 113 83 2020.05.19
RBL2020-201 CN-3 SU-1 88 117 2020.05.19
RBL2020-202 CN-4 SU-2 81 92 2020.05.19
RBL2020-203 SU-3 NR-3 107 97 2020.05.19
RBL2020-204 SU-4 NR-4 76 101 2020.05.19
RBL2020-205 CN-1 SU-1 92 107 2020.05.21
RBL2020-206 CN-2 SU-2 90 113 2020.05.21
RBL2020-207 SU-3 NR-1 93 108 2020.05.21
RBL2020-208 SU-4 NR-2 96 103 2020.05.21
RBL2020-209 NR-3 CN-3 107 106 2020.05.21
RBL2020-210 NR-4 CN-4 116 81 2020.05.21
RBL2020-211 SU-1 NR-1 73 94 2020.05.23
RBL2020-212 SU-2 NR-2 110 90 2020.05.23
RBL2020-213 NR-3 CN-1 108 81 2020.05.23
RBL2020-214 NR-4 CN-2 110 96 2020.05.23
RBL2020-215 CN-3 SU-3 116 110 2020.05.23
RBL2020-216 CN-4 SU-4 111 107 2020.05.23
RBL2020-217 NR-2 NR-1 113 89 2020.06.01
RBL2020-218 NR-4 NR-3 112 107 2020.06.01
RBL2020-219 CN-2 CN-1 70 88 2020.06.01
RBL2020-220 CN-4 CN-3 82 76 2020.06.01
RBL2020-221 SU-2 SU-1 90 110 2020.06.01
RBL2020-222 SU-4 SU-3 111 82 2020.06.01
RBL2020-223 NR-3 NR-1 70 100 2020.06.03
RBL2020-224 NR-4 NR-2 106 88 2020.06.03
RBL2020-225 CN-3 CN-1 117 77 2020.06.03
RBL2020-226 CN-4 CN-2 96 85 2020.06.03
RBL2020-227 SU-3 SU-1 85 75 2020.06.03
RBL2020-228 SU-4 SU-2 105 71 2020.06.03
RBL2020-229 NR-4 NR-1 103 96 2020.06.05
RBL2020-230 NR-3 NR-2 105 80 2020.06.05
RBL2020-231 CN-4 CN-1 81 106 2020.06.05
RBL2020-232 CN-3 CN-2 112 71 2020.06.05
RBL2020-233 SU-4 SU-1 117 118 2020.06.05
RBL2020-234 SU-3 SU-2 94 87 2020.06.05
RBL2020-235 NR-3 NR-2 104 82 2020.06.07
RBL2020-236 NR-1 NR-4 115 110 2020.06.07
RBL2020-237 CN-3 CN-2 115 103 2020.06.07
RBL2020-238 CN-1 CN-4 114 89 2020.06.07
RBL2020-239 SU-3 SU-2 102 99 2020.06.07
RBL2020-240 SU-1 SU-4 118 71 2020.06.07
RBL2020-241 NR-2 NR-3 110 99 2020.06.09
RBL2020-242 NR-1 NR-4 72 71 2020.06.09
RBL2020-243 CN-2 CN-3 76 110 2020.06.09
RBL2020-244 CN-1 CN-4 117 119 2020.06.09
RBL2020-245 SU-2 SU-3 103 84 2020.06.09
RBL2020-246 SU-1 SU-4 76 110 2020.06.09
RBL2020-247 NR-2 NR-4 76 88 2020.06.11
RBL2020-248 NR-1 NR-3 114 94 2020.06.11
RBL2020-249 CN-2 CN-4 102 101 2020.06.11
RBL2020-250 CN-1 CN-3 78 96 2020.06.11
RBL2020-251 SU-2 SU-4 103 100 2020.06.11
RBL2020-252 SU-1 SU-3 95 100 2020.06.11
RBL2020-253 CN-1 NR-1 108 117 2020.06.13
RBL2020-254 CN-2 NR-2 96 74 2020.06.13
RBL2020-255 SU-1 CN-3 86 100 2020.06.13
RBL2020-256 SU-2 CN-4 112 98 2020.06.13
RBL2020-257 NR-3 SU-3 88 83 2020.06.13
RBL2020-258 NR-4 SU-4 74 96 2020.06.13
RBL2020-259 SU-1 CN-1 84 76 2020.06.15
RBL2020-260 SU-2 CN-2 105 71 2020.06.15
RBL2020-261 NR-1 SU-3 94 108 2020.06.15
RBL2020-262 NR-2 SU-4 102 103 2020.06.15
RBL2020-263 CN-3 NR-3 105 98 2020.06.15
RBL2020-264 CN-4 NR-4 100 97 2020.06.15
RBL2020-265 NR-1 SU-1 95 108 2020.06.17
RBL2020-266 NR-2 SU-2 98 115 2020.06.17
RBL2020-267 CN-1 NR-3 102 73 2020.06.17
RBL2020-268 CN-2 NR-4 75 81 2020.06.17
RBL2020-269 SU-3 CN-3 106 109 2020.06.17
RBL2020-270 SU-4 CN-4 102 74 2020.06.17
RBL2020-271 NR-1 CN-1 89 81 2020.06.19
RBL2020-272 NR-2 CN-2 83 109 2020.06.19
RBL2020-273 CN-3 SU-1 97 109 2020.06.19
RBL2020-274 CN-4 SU-2 105 95 2020.06.19
RBL2020-275 SU-3 NR-3 80 104 2020.06.19
RBL2020-276 SU-4 NR-4 83 107 2020.06.19
RBL2020-277 CN-1 SU-1 89 114 2020.06.21
RBL2020-278 CN-2 SU-2 115 81 2020.06.21
RBL2020-279 SU-3 NR-1 97 94 2020.06.21
RBL2020-280 SU-4 NR-2 96 81 2020.06.21
RBL2020-281 NR-3 CN-3 81 79 2020.06.21
RBL2020-282 NR-4 CN-4 90 98 2020.06.21
RBL2020-283 SU-1 NR-1 75 84 2020.06.23
RBL2020-284 SU-2 NR-2 98 114 2020.06.23
RBL2020-285 NR-3 CN-1 119 101 2020.06.23
RBL2020-286 NR-4 CN-2 118 110 2020.06.23
RBL2020-287 CN-3 SU-3 102 80 2020.06.23
RBL2020-288 CN-4 SU-4 103 108 2020.06.23
RBL2020-289 NR-2 NR-1 107 80 2020.07.01
RBL2020-290 NR-4 NR-3 82 95 2020.07.01
RBL2020-291 CN-2 CN-1 88 104 2020.07.01
RBL2020-292 CN-4 CN-3 118 86 2020.07.01
RBL2020-293 SU-2 SU-1 72 83 2020.07.01
RBL2020-294 SU-4 SU-3 118 94 2020.07.01
RBL2020-295 NR-3 NR-1 118 108 2020.07.03
RBL2020-296 NR-4 NR-2 86 73 2020.07.03
RBL2020-297 CN-3 CN-1 103 101 2020.07.03
RBL2020-298 CN-4 CN-2 89 101 2020.07.03
RBL2020-299 SU-3 SU-1 115 90 2020.07.03
RBL2020-300 SU-4 SU-2 116 107 2020.07.03
RBL2020-301 NR-4 NR-1 73 116 2020.07.05
RBL2020-302 NR-3 NR-2 95 112 2020.07.05
RBL2020-303 CN-4 CN-1 95 91 2020.07.05
RBL2020-304 CN-3 CN-2 117 70 2020.07.05
RBL2020-305 SU-4 SU-1 97 94 2020.07.05
RBL2020-306 SU-3 SU-2 76 71 2020.07.05
RBL2020-307 NR-3 NR-2 101 115 2020.07.07
RBL2020-308 NR-1 NR-4 95 78 2020.07.07
RBL2020-309 CN-3 CN-2 72 90 2020.07.07
RBL2020-310 CN-1 CN-4 98 119 2020.07.07
RBL2020-311 SU-3 SU-2 119 95 2020.07.07
RBL2020-312 SU-1 SU-4 103 107 2020.07.07
RBL2020-313 NR-2 NR-3 103 94 2020.07.09
RBL2020-314 NR-1 NR-4 114 117 2020.07.09
RBL2020-315 CN-2 CN-3 93 101 2020.07.09
RBL2020-316 CN-1 CN-4 102 83 2020.07.09
RBL2020-317 SU-2 SU-3 73 108 2020.07.09
RBL2020-318 SU-1 SU-4 99 115 2020.07.09
RBL2020-319 NR-2 NR-4 80 102 2020.07.11
RBL2020-320 NR-1 NR-3 79 98 2020.07.11
RBL2020-321 CN-2 CN-4 104 94 2020.07.11
RBL2020-322 CN-1 CN-3 90 107 2020.07.11
RBL2020-323 SU-2 SU-4 73 96 2020.07.11
RBL2020-324 SU-1 SU-3 113 102 2020.07.11
